"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"delta_alpha",-1.02070965280758,2.74832037863151,-6.71858690424995,-2.81061510422716,-0.930251302442415,0.797906385688313,4.23292937159073,1.04664637879397,61
"delta_rho",-0.0127794090071626,0.163059243555091,-0.342708998891815,-0.130000416544354,-0.00970254484640019,0.0963379232354382,0.325146087014342,1.10676288257141,28
"deviance",207.400709151345,9.15596134327294,190.791796294023,200.99509945139,206.993065863891,213.368594852035,226.469407467878,1.01021706723049,220
"mu_alpha",7.47064496643482,1.36865805825674,4.96559184063279,6.38186863578912,7.43474005489005,8.57768443038078,9.8336290285121,1.11283431347099,23
"mu_rho",0.753209925156472,0.0982958316039349,0.563864441090358,0.680555116680085,0.757216971798678,0.828619808096394,0.918562497972263,1.11442576564596,23
"sigma_alpha_m",1.96681096662931,1.36534443540029,0.0551582541807246,0.885265183047069,1.73810152212373,2.83500945362159,5.05286174950001,1.19709910876265,24
"sigma_alpha_s",2.27290458695224,1.34731098674819,0.229874200533667,1.20231033767568,2.1100922459797,3.16420000217662,5.181956735403,1.02706395274229,690
"sigma_rho_m",57.2104751681299,25.599996726002,12.6806794906233,35.513733506651,58.5919879348679,79.2647076727131,97.8844357467969,1.0067646277614,410
"sigma_rho_s",54.0777898404308,26.212551307493,12.0944483335322,31.1929889039697,53.1873485329963,77.1474575293273,97.7693778516007,1.0031830945883,870
